pl_name,hostname,pl_rade,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
HIP 65 A b,HIP 65 A,22.75427000,4590.00,0.724200,0.781000,00h00m44.55s,0.1856063,-54d49m50.96s,-54.8308228,61.78560000
WASP-136 b,WASP-136,15.46842000,6260.00,2.210000,1.410000,00h01m18.18s,0.3257610,-08d55m34.50s,-8.9262512,275.58700000
KELT-1 b,KELT-1,12.44200000,6516.00,1.471000,1.335000,00h01m26.90s,0.3620995,+39d23m01.66s,39.3837953,268.43000000
HATS-34 b,HATS-34,16.02887000,5380.00,0.980000,0.955000,00h03m05.88s,0.7744866,-62d28m09.54s,-62.4693167,508.84200000
WASP-96 b,WASP-96,13.45000000,5540.00,1.050000,1.060000,00h04m11.18s,1.0465696,-47d21m38.29s,-47.3606352,352.46400000
HD 142 A d,HD 142,10.90000000,6245.00,1.470000,1.210000,00h06m20.08s,1.5836771,-49d04m31.30s,-49.0753625,26.18530000
HD 142 b,HD 142,12.70000000,6245.00,1.470000,1.210000,00h06m20.08s,1.5836771,-49d04m31.30s,-49.0753625,26.18530000
HD 142 c,HD 142,12.40000000,6245.00,1.470000,1.210000,00h06m20.08s,1.5836771,-49d04m31.30s,-49.0753625,26.18530000
GJ 1002 b,GJ 1002,1.03000000,3024.00,0.137000,0.120000,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,4.84867000
GJ 1002 c,GJ 1002,1.10000000,3024.00,0.137000,0.120000,00h06m42.35s,1.6764641,-07d32m46.36s,-7.5462123,4.84867000
HD 360 b,HD 360,14.00000000,4770.00,10.860000,1.690000,00h08m17.50s,2.0729030,-08d49m27.34s,-8.8242618,111.54200000
HD 457 b,HD 457,11.90000000,6114.04,1.281940,1.150000,00h08m59.83s,2.2492922,-39d44m14.06s,-39.7372401,55.03750000
TOI-198 b,TOI-198,1.44000000,3650.00,0.441000,0.467000,00h09m05.16s,2.2715087,-27d07m18.28s,-27.1217452,23.72620000
HD 564 b,HD 564,12.50000000,5902.00,1.010000,0.961000,00h09m52.67s,2.4694459,-50d16m04.44s,-50.2678998,51.16590000
HIP 948 b,HIP 948,12.10000000,4497.00,0.688488,0.710000,00h11m42.63s,2.9276336,-39d13m49.76s,-39.2304879,34.85230000
WASP-44 b,WASP-44,12.32990000,5420.00,0.906000,0.935000,00h15m36.79s,3.9032733,-11d56m17.75s,-11.9382645,364.51200000
Gliese 12 b,Gliese 12,0.95800000,3296.00,0.261700,0.241400,00h15m49.90s,3.9579137,+13d33m27.42s,13.5576175,12.21000000
WASP-32 b,WASP-32,10.76064000,6140.00,0.950000,0.720000,00h15m50.81s,3.9617073,+01d12m01.84s,1.2005122,275.99400000
GJ 3021 b,GJ 3021,13.10000000,5540.00,0.900000,0.900000,00h16m15.22s,4.0634323,-79d51m05.12s,-79.8514218,17.55590000
WASP-158 b,WASP-158,11.99363000,6350.00,1.390000,1.380000,00h16m35.12s,4.1463468,-10d58m35.12s,-10.9764226,524.99300000
HD 1397 b,HD 1397,11.50043400,5521.00,2.336000,1.324000,00h17m47.32s,4.4471631,-66d21m32.14s,-66.3589285,79.57020000
TOI-6016 b,TOI-6016,13.67495645,6110.00,1.510000,1.310000,00h18m05.75s,4.5239602,+59d45m58.31s,59.7661983,364.71500000
WASP-26 b,WASP-26,13.56289000,6034.00,1.220000,0.860000,00h18m24.73s,4.6030424,-15d16m02.66s,-15.2674044,252.75900000
GJ 15 A b,GJ 15 A,1.55000000,3607.00,0.380000,0.380000,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.56228000
GJ 15 A c,GJ 15 A,6.67000000,3607.00,0.380000,0.380000,00h18m27.04s,4.6126677,+44d01m29.03s,44.0247296,3.56228000
HD 1461 b,HD 1461,2.42000000,5765.00,1.152288,1.020000,00h18m42.30s,4.6762645,-08d03m13.03s,-8.0536206,23.45340000
HD 1461 c,HD 1461,2.23000000,5765.00,1.152288,1.020000,00h18m42.30s,4.6762645,-08d03m13.03s,-8.0536206,23.45340000
TOI-260 b,TOI-260,1.71000000,4026.00,0.607000,0.616000,00h19m05.52s,4.7730178,-09d57m58.14s,-9.9661505,20.18520000
HD 1502 b,HD 1502,13.20000000,4947.00,4.670000,1.460000,00h19m17.15s,4.8214389,+14d03m16.86s,14.0546830,190.95300000
Qatar-4 b,Qatar-4,12.72221500,5215.00,0.849000,0.896000,00h19m26.23s,4.8592750,+44d01m39.35s,44.0275965,329.03600000
HD 1605 b,HD 1605,13.80000000,4915.00,3.490000,1.330000,00h20m31.62s,5.1317548,+30d58m30.22s,30.9750611,88.80470000
HD 1605 c,HD 1605,13.00000000,4915.00,3.490000,1.330000,00h20m31.62s,5.1317548,+30d58m30.22s,30.9750611,88.80470000
WASP-20 b,WASP-20,16.38800000,5940.00,1.392000,1.200000,00h20m38.53s,5.1605621,-23d56m08.84s,-23.9357894,211.87700000
WASP-1 b,WASP-1,16.62300000,6110.00,1.470000,1.240000,00h20m40.07s,5.1669536,+31d59m23.90s,31.9899732,393.07200000
HD 1666 b,HD 1666,12.70000000,6317.00,1.930000,1.500000,00h20m52.33s,5.2180424,-19d55m53.34s,-19.9314823,117.90800000
WASP-45 b,WASP-45,10.60371400,5150.00,0.855000,0.850000,00h20m57.06s,5.2377567,-35d59m54.47s,-35.9984650,211.19600000
