rastr,ra,decstr,dec,glat,glon,elat,elon,ra_reflink,sy_dist,sy_disterr1,sy_disterr2
12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.41790,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,93.1846000,1.9238000,-1.9238000
15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.71900,74.95821,141.64699,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,125.3210000,1.9765000,-1.9765000
23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.95935,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,75.4392000,0.7140000,-0.7140000
16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.24717,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17.9323000,0.0073000,-0.0073000
19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21176,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21.1397000,0.0110000,-0.0111000
16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,9.21181,243.70449,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,124.9530000,2.5900000,-2.5900000
20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.97480,58.69121,26.78678,320.58706,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,76.2220000,0.6217000,-0.6217000
16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.89050,-0.06852,244.36567,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,139.1350000,1.3320000,-1.3070000
14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.64470,90.16373,58.88795,185.91956,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,95.9863000,0.6368500,-0.6368500
10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99391,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,72.0691000,0.6854000,-0.6728000
10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.71580,245.08569,-10.19818,157.99391,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,72.0691000,0.6854000,-0.6728000
04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,-13.44593,172.81975,4.72193,71.58413,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,128.4840000,1.1960000,-1.1740000
01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,-61.77586,299.26888,-54.69414,341.46812,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,47.2000000,3.1000000,-3.1000000
01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,-82.51990,195.45385,-30.71197,8.62267,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,33.8281000,0.0864000,-0.0860000
02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,-67.98402,252.45343,-49.30514,13.50901,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,40.0896412,0.1940496,-0.1940496
02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,-54.76650,181.38690,-21.25209,38.09147,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,66.0613000,0.4543000,-0.4482000
03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,-24.41615,171.79480,-0.37206,61.80997,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,117.4350000,2.3200000,-2.2330000
04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,-15.11435,176.51065,0.80236,72.05025,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,120.4239870,5.4783417,-5.4783417
11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,-15.96361,296.98009,-66.57990,238.33044,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,,
11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,-16.74470,300.23137,-64.57818,244.42577,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,100.8620000,0.6030000,-0.5960000
12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,22.54309,293.79011,-35.03506,199.73955,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,64.3080000,0.6569000,-0.6440000
19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,11.67426,79.01876,65.72534,314.70935,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,396.3320000,6.3885000,-6.3885000
21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,-32.11971,310.65078,-60.64920,283.39145,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,34.1154000,0.0811000,-0.0807000
22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,-9.10923,100.74846,50.85330,6.85902,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,69.5737000,0.1592000,-0.1585000
02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,-32.30930,151.47681,8.85457,44.56452,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,44.6570000,0.1039000,-0.1034000
08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,35.95654,151.35882,44.02809,112.80905,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,73.4603000,1.1860500,-1.1860500
18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,27.12504,95.41912,87.18291,342.26846,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,90.6545000,1.3227000,-1.3227000
10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06831,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.7967000,0.0289000,-0.0289000
10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06831,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.7967000,0.0289000,-0.0289000
10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,63.36770,175.78305,31.06122,149.06831,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.7967000,0.0289000,-0.0289000
04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,29.7575000,0.1213000,-0.1203000
